ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
yogesh ,1,1771511253463,-3.25305,3.45495,12.348,29.04681,-4.979,-19.64816
yogesh ,2,1771511253472,-3.375,2.964,6.28905,26.6676,-1.68593,-15.98481
yogesh ,3,1771511253484,-3.375,2.964,6.28905,12.51841,-11.74635,-9.46168
yogesh ,4,1771511253495,-4.002,2.89305,3.669,-14.18858,-36.74379,1.81986
yogesh ,5,1771511253506,-4.002,2.89305,3.669,-25.28105,-49.12039,8.52418
yogesh ,6,1771511253517,-3.765,3.53895,6.71505,-27.72328,-57.17188,14.13344
yogesh ,7,1771511253528,-3.765,3.53895,6.71505,-22.11402,-57.66032,17.91496
yogesh ,8,1771511253539,-2.10795,4.071,10.20105,-12.17177,-49.67186,19.3803
yogesh ,9,1771511253556,-0.411,4.35105,10.58895,1.54412,-25.58829,17.18229
yogesh ,10,1771511253571,-0.411,4.35105,10.58895,7.33458,-4.67175,10.53311
yogesh ,11,1771511253580,-0.693,4.17405,9.64995,8.92597,2.15862,6.45222
yogesh ,12,1771511253586,-0.693,4.17405,9.64995,11.24215,4.16755,5.83772
yogesh ,13,1771511253598,-2.45295,3.78105,9.08505,14.04678,1.54412,9.01263
yogesh ,14,1771511253610,-2.45295,3.78105,9.08505,15.63029,-5.22323,13.70802
yogesh ,15,1771511253620,-3.01605,3.90105,7.878,14.77945,-13.70014,18.09616
yogesh ,16,1771511253632,-2.57805,4.458,7.72995,12.33721,-23.27211,21.20803
yogesh ,17,1771511253642,-2.57805,4.458,7.72995,9.04414,-35.89294,21.08198
yogesh ,18,1771511253654,-1.275,4.96095,8.56995,6.84613,-40.58833,17.30046
yogesh ,19,1771511253665,-1.275,4.96095,8.56995,3.55305,-41.25797,11.81725
yogesh ,20,1771511253675,-0.79905,5.256,9.15,-1.50473,-37.29525,5.5935
yogesh ,21,1771511253687,-0.79905,5.256,9.15,-17.41863,-28.1487,-6.65705
yogesh ,22,1771511253698,-0.471,5.88105,8.47395,-33.39556,-25.58829,-18.78943
yogesh ,23,1771511253710,-0.471,5.88105,8.47395,-46.01639,-25.03682,-30.74062
yogesh ,24,1771511253721,-1.131,4.75995,10.371,-51.86987,-20.71171,-38.36668
yogesh ,25,1771511253731,-1.131,4.75995,10.371,-50.04213,-12.17177,-39.28056
yogesh ,26,1771511253743,-2.64195,3.49605,12.075,-37.6025,0.51208,-30.07097
yogesh ,27,1771511253752,-3.12105,2.53395,10.56,-27.72328,1.54412,-20.3178
