ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
yogesh ,1,1771423813988,-2.943,5.56695,6.67695,-4.86871,-7.01157,-9.50895
yogesh ,2,1771423814000,-3.51795,4.80495,4.94295,-13.1014,-23.90237,-4.56934
yogesh ,3,1771423814011,-3.51795,4.80495,4.94295,-20.23902,-34.75061,0.55147
yogesh ,4,1771423814022,-3.288,4.48005,6.63105,-24.26476,-39.0836,4.02574
yogesh ,5,1771423814039,-2.11305,4.49895,8.88195,-23.53209,-35.05785,3.7185
yogesh ,6,1771423814048,-2.11305,4.49895,8.88195,-20.66444,-27.37664,0.55147
yogesh ,7,1771423814059,-1.30095,4.81005,9.471,-17.48954,-19.08093,-4.51419
yogesh ,8,1771423814069,-1.30095,4.81005,9.471,-13.16442,-8.22481,-11.03732
yogesh ,9,1771423814081,-1.866,4.19295,8.83095,-10.05254,-6.15285,-12.43963
yogesh ,10,1771423814093,-1.866,4.19295,8.83095,-8.04361,-9.32775,-10.97429
yogesh ,11,1771423814103,-2.78805,3.78105,7.40895,-8.16178,-15.36243,-7.43699
yogesh ,12,1771423814114,-2.78805,3.78105,7.40895,-11.21064,-22.9885,-3.89969
yogesh ,13,1771423814125,-2.68695,4.97295,6.46095,-28.22748,-23.71329,-5.18384
yogesh ,14,1771423814137,-1.806,5.43495,7.81395,-40.05262,-19.14395,-7.80727
yogesh ,15,1771423814148,-1.806,5.43495,7.81395,-42.43182,-17.25319,-10.36767
yogesh ,16,1771423814159,-1.10895,4.65,10.33995,-32.85984,-22.374,-14.45644
yogesh ,17,1771423814171,-1.10895,4.65,10.33995,-8.34298,-34.50638,-17.93071
yogesh ,18,1771423814179,-1.71495,4.176,10.73505,4.57722,-36.03475,-16.89079
yogesh ,19,1771423814194,-1.71495,4.176,10.73505,9.94225,-34.32518,-13.96799
yogesh ,20,1771423814202,-2.304,4.185,9.28905,9.09141,-30.05522,-10.91914
yogesh ,21,1771423814214,-2.304,4.185,9.28905,5.97953,-24.81623,-8.29571
yogesh ,22,1771423814225,-2.23695,4.173,8.934,3.1749,-18.96276,-4.63236
yogesh ,23,1771423814236,-1.89705,3.83805,8.90595,3.72637,-16.2763,-2.86765
yogesh ,24,1771423814247,-1.89705,3.83805,8.90595,4.52207,-15.66968,-1.82774
yogesh ,25,1771423814258,-1.52805,4.18995,8.34795,3.7894,-15.11821,-1.82774
yogesh ,26,1771423814270,-1.52805,4.18995,8.34795,-2.37133,-12.62083,-4.93961
yogesh ,27,1771423814281,-1.22205,4.96605,7.80705,-9.5641,-10.42282,-8.29571
yogesh ,28,1771423814291,-1.22205,4.96605,7.80705,-15.36243,-8.95748,-10.48584
yogesh ,29,1771423814304,-1.46595,4.485,8.45295,-15.36243,-10.79309,-11.58879
yogesh ,30,1771423814315,-1.64295,3.87195,9.15705,-7.37397,-16.4575,-11.88816
yogesh ,31,1771423814325,-1.64295,3.87195,9.15705,-2.67858,-18.8367,-11.28154
yogesh ,32,1771423814336,-1.69605,4.18095,8.604,-2.73372,-16.94594,-11.40759
yogesh ,33,1771423814348,-1.69605,4.18095,8.604,-8.65023,-11.58091,-12.62083
yogesh ,34,1771423814359,-1.66995,4.76205,8.63295,-17.19016,-4.56934,-13.77892
yogesh ,35,1771423814369,-1.66995,4.76205,8.63295,-22.06675,3.66335,-12.50266
yogesh ,36,1771423814380,-1.89495,3.96,9.85095,-16.08722,2.9937,-10.67492
yogesh ,37,1771423814391,-1.89495,3.96,9.85095,-5.90863,-1.64654,-8.90233
yogesh ,38,1771423814402,-1.86795,3.723,9.76005,2.32406,-6.15285,-7.50002
yogesh ,39,1771423814414,-1.86795,3.723,9.76005,5.24686,-7.31094,-7.01157
yogesh ,40,1771423814425,-1.60995,4.30695,8.80695,0.74055,-5.85348,-8.41389
yogesh ,41,1771423814438,-1.66995,4.35105,8.54205,-5.17596,-4.08089,-8.90233
yogesh ,42,1771423814449,-1.66995,4.35105,8.54205,-6.4601,-3.29307,-7.25579
yogesh ,43,1771423814458,-1.45395,3.61995,9.31305,-1.63866,-4.81356,-5.24686
yogesh ,44,1771423814470,-1.45395,3.61995,9.31305,4.45904,-7.37397,-4.93961
yogesh ,45,1771423814478,-1.014,4.03905,8.59905,7.5079,-10.1786,-6.46798
yogesh ,46,1771423814489,-1.014,4.03905,8.59905,2.32406,-8.41389,-11.46274
yogesh ,47,1771423814501,-0.75705,5.13105,8.058,-6.33405,-5.42018,-16.33932
yogesh ,48,1771423814510,-0.75705,5.13105,8.058,-14.62976,-0.96901,-18.29311
yogesh ,49,1771423814521,-1.35795,4.57095,9.46605,-15.23638,1.89076,-17.31622
yogesh ,50,1771423814534,-1.27905,3.69705,10.167,-1.39444,-3.23005,-17.13502
yogesh ,51,1771423814546,-1.27905,3.69705,10.167,7.93332,-6.39707,-16.46537
yogesh ,52,1771423814556,-1.58595,3.61305,9.09495,12.32146,-5.6644,-15.12609
yogesh ,53,1771423814567,-1.58595,3.61305,9.09495,9.8871,-3.59245,-15.18123
yogesh ,54,1771423814578,-1.59795,3.99405,8.06295,2.74948,-1.27626,-16.64657
yogesh ,55,1771423814593,-1.59795,3.99405,8.06295,-8.40601,7.87029,-15.00003
yogesh ,56,1771423814602,-1.76505,3.70695,8.75205,-9.07565,8.53994,-13.96799
yogesh ,57,1771423814614,-1.76505,3.70695,8.75205,-5.78258,3.78152,-15.37031
yogesh ,58,1771423814626,-1.344,4.08495,8.89605,-3.59245,0.6145,-18.23008
yogesh ,59,1771423814632,-1.344,4.08495,8.89605,-4.19906,0.97689,-19.38817
yogesh ,60,1771423814643,-1.308,4.62795,8.862,-9.13868,2.44223,-23.90237
yogesh ,61,1771423814654,-2.14095,3.77595,9.39405,-11.27366,4.26997,-23.11455
yogesh ,62,1771423814665,-2.14095,3.77595,9.39405,-7.73636,6.28678,-18.35613
yogesh ,63,1771423814676,-2.007,3.34305,9.46095,-0.54359,2.37921,-15.06306
yogesh ,64,1771423814687,-2.007,3.34305,9.46095,6.95642,-0.91387,-14.88186
yogesh ,65,1771423814700,-1.449,4.26405,9.08805,6.46798,1.34717,-17.68649
yogesh ,66,1771423814710,-1.449,4.26405,9.08805,2.68646,3.66335,-22.8073
yogesh ,67,1771423814722,-1.19595,4.60005,8.81895,-3.104,7.68909,-27.99114
yogesh ,68,1771423814733,-1.19595,4.60005,8.81895,-4.99476,9.02838,-26.707
yogesh ,69,1771423814746,-2.20605,3.70395,9.57405,3.6082,3.29307,-20.79049
yogesh ,70,1771423814758,-1.167,4.27905,9.423,11.58879,-2.25316,-21.40499
yogesh ,71,1771423814770,-1.167,4.27905,9.423,16.28418,-4.63236,-27.86509
yogesh ,72,1771423814782,-0.82905,4.87995,8.74005,11.95906,-0.66964,-33.66342
yogesh ,73,1771423814791,-0.82905,4.87995,8.74005,5.30989,3.90757,-35.42813
yogesh ,74,1771423814802,-1.99995,3.987,8.68305,-0.41754,7.68909,-31.77266
yogesh ,75,1771423814814,-1.99995,3.987,8.68305,-4.38026,11.16337,-28.23536
yogesh ,76,1771423814826,-1.75305,4.10205,9.28095,-1.52049,9.635,-26.83305
yogesh ,77,1771423814836,-1.33395,4.58805,10.02105,5.24686,6.8934,-28.66078
yogesh ,78,1771423814848,-1.33395,4.58805,10.02105,11.34456,5.67228,-32.19808
yogesh ,79,1771423814859,-1.64295,4.52805,9.408,13.7868,4.75841,-34.93968
yogesh ,80,1771423814870,-1.64295,4.52805,9.408,12.74688,7.62607,-35.73538
yogesh ,81,1771423814880,-2.04105,4.35495,8.72805,10.37555,9.8162,-34.75848
